x	y
1220,251	0,357
1235,336	0,357
1286,981	0,351
1308,238	0,348
1346,287	0,344
1351,812	0,344
1351,812	0,343
1351,812	0,343
1363,873	0,343
1501,036	0,330
1507,196	0,330
1513,382	0,329
1525,829	0,329
1532,091	0,328
1590,717	0,324
1597,245	0,321
1603,801	0,320
1643,701	0,318
1691,506	0,316
1698,447	0,316
1705,418	0,315
1762,221	0,313
1769,453	0,313
1813,474	0,311
1889,289	0,307
1897,043	0,306
1904,827	0,306
1944,237	0,303
1952,216	0,302
2017,240	0,297
2067,424	0,293
2075,909	0,293
2084,428	0,293
2180,483	0,290
2189,432	0,289
2198,417	0,289
2234,730	0,287
2243,900	0,287
2253,110	0,287
2337,709	0,287
2347,304	0,287
2376,323	0,286
2386,074	0,286
2455,473	0,284
2465,549	0,284
2485,827	0,283
2558,127	0,279
2579,167	0,277
2589,751	0,277
2654,179	0,274
2709,092	0,269
2720,211	0,269
2742,584	0,268
2799,326	0,266
2916,355	0,261
2928,323	0,259
2940,341	0,259
3001,174	0,256
3075,839	0,256
3088,460	0,256
3139,475	0,254
3152,358	0,254
3329,345	0,253
3343,010	0,253
3412,174	0,252
3426,175	0,252
3633,384	0,247
3678,303	0,245
3723,777	0,244
3723,777	0,243
3895,377	0,240
3895,377	0,239
3911,362	0,239
3927,415	0,237
3943,531	0,237
4058,228	0,237
4074,881	0,236
4091,606	0,236
4125,258	0,235
4166,993	0,237
4184,095	0,237
4235,822	0,235
4253,204	0,235
4270,661	0,235
4323,458	0,235
4323,458	0,234
4341,199	0,234
4449,201	0,234
4449,201	0,233
4467,462	0,233
4541,251	0,232
4616,259	0,230
4616,259	0,228
4635,206	0,228
4750,522	0,226
4770,016	0,226
4770,016	0,225
4789,594	0,224
4969,433	0,221
4989,829	0,221
5010,305	0,221
5134,953	0,220
5134,953	0,219
5156,029	0,218
5305,986	0,217
5327,760	0,217
5437,986	0,216
5460,306	0,216
5550,494	0,214
5573,274	0,214
5596,149	0,214
5758,907	0,212
5782,539	0,212
5806,272	0,212
5999,666	0,211
6024,286	0,209
6073,838	0,209
6098,763	0,209
6276,139	0,206
6301,898	0,206
6327,763	0,206
6327,763	0,205
6405,987	0,204
6432,279	0,203
6458,679	0,203
6592,304	0,201
6619,355	0,201
6867,903	0,199
6867,903	0,198
6952,804	0,198
6981,341	0,198
6981,341	0,198
7273,205	0,195
7303,056	0,195
7333,024	0,194
7363,122	0,194
7608,370	0,192
7702,431	0,191
7894,048	0,190
7894,048	0,189
7894,048	0,188
7894,048	0,188
7926,448	0,187
8024,441	0,185
8190,459	0,182
8190,459	0,181
8224,069	0,181
8532,872	0,180
8567,887	0,180
8603,053	0,180
8889,600	0,180
8926,078	0,180
8962,714	0,180
9223,386	0,180
9414,209	0,180
9452,849	0,180
9491,639	0,180
9569,704	0,178
9648,420	0,178
9688,012	0,178
9767,692	0,177
9807,782	0,176
9929,034	0,174
9969,777	0,174
10176,044	0,171
10217,810	0,171
10259,747	0,171
10301,848	0,171
10644,979	0,169
10688,669	0,168
10732,530	0,168
10954,577	0,166
10999,538	0,166
11273,180	0,164
11319,448	0,163
11412,547	0,163
11744,470	0,162
11792,673	0,162
11841,073	0,162
11889,663	0,161
12135,650	0,160
12185,459	0,160
12386,727	0,158
12437,565	0,158
12591,328	0,157
12642,997	0,157
12694,888	0,156
12904,569	0,154
12957,534	0,154
13389,119	0,153
13389,119	0,152
13778,528	0,149
14006,108	0,147
14121,315	0,147
14179,263	0,146
14532,020	0,145
14532,020	0,144
14772,045	0,144
14832,675	0,144
14893,540	0,144
14954,669	0,144
15389,609	0,141
15389,609	0,140
15902,202	0,138
15967,470	0,138
16032,992	0,138
16703,273	0,136
16703,273	0,136
16771,828	0,136
17048,850	0,135
17472,996	0,134
17544,697	0,133
17616,707	0,133
18129,070	0,131
18203,479	0,131
